iter	TotalF1	MultiClass
218	0.959238436	0.2427065641
219	0.959238436	0.2419221855
220	0.959238436	0.2407097846
221	0.959238436	0.2392612955
222	0.959238436	0.2381705505
223	0.959238436	0.2371812487
224	0.959238436	0.2361525052
225	0.959238436	0.2351121109
226	0.959238436	0.234451934
227	0.959238436	0.2334450684
228	0.9802413273	0.232596189
229	0.9802413273	0.2317043818
230	0.9802413273	0.2307311302
231	0.9802413273	0.2300163018
232	0.9802413273	0.2288849598
233	0.9802413273	0.227899833
234	0.9802413273	0.2272658644
235	0.9802413273	0.2262284812
236	0.9802413273	0.2252738804
237	0.9802413273	0.2243349631
238	0.9802413273	0.2233354673
239	0.9802413273	0.2223430958
240	0.9802413273	0.2216614477
241	0.9802413273	0.2209004509
242	0.9802413273	0.2200015854
243	0.9802413273	0.2192729653
244	0.9802413273	0.2184247241
245	0.9802413273	0.2175613834
246	0.9802413273	0.2167778071
247	0.9802413273	0.215841875
248	0.9802413273	0.2150126982
249	0.9802413273	0.2141626706
250	0.9802413273	0.2132389888
251	0.9802413273	0.2125026745
252	0.9802413273	0.2115155336
253	0.9802413273	0.210967948
254	0.9802413273	0.2101559151
255	0.9802413273	0.2094981758
256	0.9802413273	0.2086218428
257	0.9802413273	0.2075751591
258	0.9802413273	0.2068440293
259	0.9802413273	0.2061689019
260	0.9802413273	0.2050650022
261	0.9802413273	0.2043869988
262	0.9802413273	0.2038690621
263	0.9802413273	0.2031368795
264	0.9802413273	0.20260878
265	0.9802413273	0.2020519538
266	0.9802413273	0.2014096754
267	0.9802413273	0.2007293892
268	0.9802413273	0.1999893419
269	0.9802413273	0.1991645
270	0.9802413273	0.1984715486
271	0.9802413273	0.1979377768
272	0.9802413273	0.1974897401
273	0.9802413273	0.1968483836
274	0.9802413273	0.1958802123
275	0.9802413273	0.1950932253
276	0.9802413273	0.1943548886
277	0.9802413273	0.1936017971
278	0.9802413273	0.1931273677
279	0.9802413273	0.1925807104
280	0.9802413273	0.1918676985
281	0.9802413273	0.1913632074
282	0.9802413273	0.190890304
283	0.9802413273	0.1902335167
284	0.9802413273	0.1896874672
285	0.9802413273	0.1889777657
286	0.9802413273	0.1884954163
287	0.9802413273	0.187715719
288	0.9802413273	0.1871538514
289	0.9802413273	0.1866829649
290	0.9802413273	0.1862419367
291	0.9802413273	0.1856139202
292	0.9802413273	0.1848133867
293	0.9802413273	0.1842016259
294	0.9802413273	0.1838988462
295	0.9802413273	0.183306355
296	0.9802413273	0.1826801739
297	0.9802413273	0.1819043091
298	0.9802413273	0.1812887827
299	0.9802413273	0.1808138878
300	0.9802413273	0.1802963497
301	0.9802413273	0.1797176925
302	0.9802413273	0.1791141326
303	0.9802413273	0.1786017116
304	0.9802413273	0.1780848184
305	0.9802413273	0.177701976
306	0.9802413273	0.1773042969
307	0.9802413273	0.1768072805
308	0.9802413273	0.1763892875
309	0.9802413273	0.1758215067
310	0.9802413273	0.1752354903
311	0.9802413273	0.1747536503
312	0.9802413273	0.1741557655
313	0.9802413273	0.1734416943
314	0.9802413273	0.1728366006
315	0.9802413273	0.1723462791
316	0.9802413273	0.1719078219
317	0.9802413273	0.171218387
318	0.9802413273	0.170712978
319	0.9802413273	0.1700866088
320	0.9802413273	0.1695567956
321	0.9802413273	0.1690278229
322	0.9802413273	0.1685226268
323	0.9802413273	0.1681228881
324	0.9802413273	0.1675931999
325	0.9802413273	0.1671509296
326	0.9802413273	0.1665946533
327	0.9802413273	0.1661745083
328	0.9802413273	0.1657953075
329	0.9802413273	0.1653121224
330	0.9802413273	0.1648177865
331	0.9802413273	0.164147845
332	0.9802413273	0.1637213734
333	0.9802413273	0.1633250058
334	0.9802413273	0.1628997377
335	0.9802413273	0.1624506053
336	0.9802413273	0.162119458
337	0.9802413273	0.1616188659
338	0.9802413273	0.1611798312
339	0.9802413273	0.1606679824
340	0.9802413273	0.1603020366
341	0.9802413273	0.1600581681
342	0.9802413273	0.1596393081
343	0.9802413273	0.1592829408
344	0.9802413273	0.1589212826
345	0.9802413273	0.1586433243
346	0.9802413273	0.1582052633
347	0.9802413273	0.1578155315
348	0.9802413273	0.1573706748
349	0.9802413273	0.1571321522
350	0.9802413273	0.1565928659
351	0.9802413273	0.1562114411
352	0.9802413273	0.1558248936
353	0.9802413273	0.1555561447
354	0.9802413273	0.1552209322
355	0.9802413273	0.1547620055
356	0.9802413273	0.1543026052
357	0.9802413273	0.1539559372
358	0.9802413273	0.1533976635
359	0.9802413273	0.1529947041
360	0.9802413273	0.15257843
361	0.9802413273	0.152105123
362	0.9802413273	0.1517207457
363	0.9802413273	0.1514607093
364	0.9802413273	0.1512341326
365	0.9802413273	0.1508799201
366	0.9802413273	0.1505677441
367	0.9802413273	0.1501409488
368	0.9802413273	0.1497168595
369	0.9802413273	0.1493802967
370	0.9802413273	0.1487296126
371	0.9802413273	0.1483413041
372	0.9802413273	0.1480526176
373	0.9802413273	0.1476677759
374	0.9802413273	0.1474613714
375	0.9802413273	0.1470462812
376	0.9802413273	0.1466867311
377	0.9802413273	0.146444259
378	0.9802413273	0.1461118635
379	0.9802413273	0.1457134972
380	0.9802413273	0.1453952743
381	0.9802413273	0.1450704905
382	0.9802413273	0.1447730112
383	0.9802413273	0.1444841847
384	0.9802413273	0.1441313918
385	0.9802413273	0.14379123
386	0.9802413273	0.1434226711
387	0.9802413273	0.1430309144
388	0.9802413273	0.1426721024
389	0.9802413273	0.1424260628
390	0.9802413273	0.1419708125
391	0.9802413273	0.1415490233
392	0.9802413273	0.1412010187
393	0.9802413273	0.1408342815
394	0.9802413273	0.1405491281
395	0.9802413273	0.1402009174
396	0.9802413273	0.1398134098
397	0.9802413273	0.1395441796
398	0.9802413273	0.139165232
399	0.9802413273	0.138791046
400	0.9802413273	0.138536169
401	0.9802413273	0.1382524227
402	0.9802413273	0.1378293736
403	0.9802413273	0.1375647257
404	0.9802413273	0.1372371963
405	0.9802413273	0.136970288
406	0.9802413273	0.1366365167
407	0.9802413273	0.1363557142
408	0.9802413273	0.1361108058
409	0.9802413273	0.1357898159
410	0.9802413273	0.135462126
411	0.9802413273	0.1351712121
412	0.9802413273	0.1348717704
413	0.9802413273	0.1345508182
414	0.9802413273	0.1341697659
415	0.9802413273	0.1339104904
416	0.9802413273	0.1336697833
417	0.9802413273	0.1334698881
418	0.9802413273	0.1330128359
419	0.9802413273	0.132716072
420	0.9802413273	0.1324665945
421	0.9802413273	0.1321320117
422	0.9802413273	0.1317614004
423	0.9802413273	0.1314522904
424	0.9802413273	0.1311945373
425	0.9802413273	0.1308481894
426	0.9802413273	0.1305454565
427	0.9802413273	0.1302691311
428	0.9802413273	0.1299528794
429	0.9802413273	0.1296512014
430	0.9802413273	0.1292968517
431	0.9802413273	0.1288786843
432	0.9802413273	0.1286090167
433	0.9802413273	0.1283178309
434	0.9802413273	0.1281650156
435	0.9802413273	0.1278139563
436	0.9802413273	0.1276421799
437	0.9802413273	0.1273437757
438	0.9802413273	0.1270939494
439	0.9802413273	0.1267641329
440	0.9802413273	0.1264807015
441	0.9802413273	0.1261565319
442	0.9802413273	0.1258715779
443	0.9802413273	0.1256719263
444	0.9802413273	0.1254647217
445	0.9802413273	0.1251790182
446	0.9802413273	0.1250132256
447	0.9802413273	0.1247438556
448	0.9802413273	0.1245536182
449	0.9802413273	0.1242711389
450	0.9802413273	0.124113033
451	0.9802413273	0.1238348931
452	0.9802413273	0.1234445495
453	0.9802413273	0.1231997751
454	0.9802413273	0.1229176828
455	0.9802413273	0.122702796
456	0.9802413273	0.1224450608
457	0.9802413273	0.1222013608
458	0.9802413273	0.1220515823
459	0.9802413273	0.1218172897
460	0.9802413273	0.1215145059
461	0.9802413273	0.1212758899
462	0.9802413273	0.1210077327
463	0.9802413273	0.1208535384
464	0.9802413273	0.120643232
465	0.9802413273	0.1204554911
466	0.9802413273	0.120248604
467	0.9802413273	0.1200449005
468	0.9802413273	0.1199099454
469	0.9802413273	0.1196445416
470	0.9802413273	0.1193977942
471	0.9802413273	0.1191300802
472	0.9802413273	0.1189213548
473	0.9802413273	0.1187195063
474	0.9802413273	0.118470576
475	0.9802413273	0.1182026202
476	0.9802413273	0.1180370385
477	0.9802413273	0.1178402198
478	0.9802413273	0.117582917
479	0.9802413273	0.1174018997
480	0.9802413273	0.1171739865
481	0.9802413273	0.1169233196
482	0.9802413273	0.1167128957
483	0.9802413273	0.1165411547
484	0.9802413273	0.1162992478
485	0.9802413273	0.1161070304
486	0.9802413273	0.1158980885
487	0.9802413273	0.11566997
488	0.9802413273	0.1155290742
489	0.9802413273	0.1153706015
490	0.9802413273	0.115181991
491	0.9802413273	0.1149040105
492	0.9802413273	0.1147398828
493	0.9802413273	0.1145486794
494	0.9802413273	0.1143863436
495	0.9802413273	0.1142048501
496	0.9802413273	0.1139550906
497	0.9802413273	0.1137512818
498	0.9802413273	0.1134440333
499	0.9802413273	0.1132325307
500	0.9802413273	0.113037004
501	0.9802413273	0.1127829915
502	0.9802413273	0.1125106839
503	0.9802413273	0.1122987254
504	0.9802413273	0.1119388977
505	0.9802413273	0.111730549
506	0.9802413273	0.1114311788
507	0.9802413273	0.1111940653
508	0.9802413273	0.1109347836
509	0.9802413273	0.1107389379
510	0.9802413273	0.1105418764
511	0.9802413273	0.1103406365
512	0.9802413273	0.1101265006
513	0.9802413273	0.1098783905
514	0.9802413273	0.1096784998
515	0.9802413273	0.1094600628
516	0.9802413273	0.1092147116
517	0.9802413273	0.1090752361
518	0.9802413273	0.1088679959
519	0.9802413273	0.1086654295
520	0.9802413273	0.1085388767
521	0.9802413273	0.1084188292
522	0.9802413273	0.108095448
523	0.9802413273	0.1078828758
524	0.9802413273	0.1077254598
525	0.9802413273	0.1075409807
526	0.9802413273	0.1073619362
527	0.9802413273	0.1071874262
528	0.9802413273	0.1070023791
529	0.9802413273	0.1067406138
530	0.9802413273	0.1065379935
531	0.9802413273	0.1063446025
532	0.9802413273	0.1061333834
533	0.9802413273	0.1059373955
534	0.9802413273	0.1057896385
535	0.9802413273	0.1056823127
536	0.9802413273	0.1054996035
537	0.9802413273	0.1052961551
538	0.9802413273	0.1051795518
539	0.9802413273	0.1050132807
540	0.9802413273	0.1047648993
541	0.9802413273	0.1045772977
542	0.9802413273	0.1044162521
543	0.9802413273	0.1042535979
544	0.9802413273	0.1040544211
545	0.9802413273	0.1039305635
546	0.9802413273	0.1037429455
547	0.9802413273	0.1035479089
548	0.9802413273	0.1034346404
549	0.9802413273	0.1032275712
550	0.9802413273	0.1030814935
551	0.9802413273	0.1028794062
552	0.9802413273	0.1026970264
553	0.9802413273	0.102508977
554	0.9802413273	0.1023266473
555	0.9802413273	0.1021427534
556	0.9802413273	0.101973248
557	0.9802413273	0.1017722982
558	0.9802413273	0.1015923834
559	0.9802413273	0.101383629
560	0.9802413273	0.1012391331
561	0.9802413273	0.1010895804
562	0.9802413273	0.1009338521
563	0.9802413273	0.1007764276
564	0.9802413273	0.1005751851
565	0.9802413273	0.1004171994
566	0.9802413273	0.1002388029
567	0.9802413273	0.100063777
568	0.9802413273	0.09986892444
569	0.9802413273	0.0997490873
570	0.9802413273	0.09960793455
571	0.9802413273	0.09947194433
572	0.9802413273	0.09932946501
573	0.9802413273	0.0992105404
574	0.9802413273	0.09907248287
575	0.9802413273	0.09887088207
576	0.9802413273	0.09873755995
577	0.9802413273	0.09858243282
578	0.9802413273	0.09840954384
579	0.9802413273	0.09827207744
580	0.9802413273	0.09811170736
581	0.9802413273	0.0979858218
582	0.9802413273	0.09776925372
583	0.9802413273	0.097586662
584	0.9802413273	0.09741691188
585	0.9802413273	0.09731391746
586	0.9802413273	0.09722402221
587	0.9802413273	0.0970585634
588	0.9802413273	0.09683009941
589	0.9802413273	0.09664830656
590	0.9802413273	0.09648438203
591	0.9802413273	0.09636001224
592	0.9802413273	0.0961831259
593	0.9802413273	0.09601928954
594	0.9802413273	0.09587156149
595	0.9802413273	0.0957199647
596	0.9802413273	0.09548005432
597	0.9802413273	0.09531120029
598	0.9802413273	0.09519209212
599	0.9802413273	0.09503085737
